,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43
418,x,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,o,b,b,b,b,draw
422,x,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,x,o,x,o,b,b,b,b,b,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,draw
446,x,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b,draw
455,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,x,o,x,x,o,x,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,draw
659,b,b,b,b,b,b,x,b,b,b,b,b,o,x,o,o,b,b,x,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
664,b,b,b,b,b,b,x,b,b,b,b,b,o,x,o,b,b,b,x,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,draw
724,b,b,b,b,b,b,o,x,b,b,b,b,o,x,o,b,b,b,x,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
817,b,b,b,b,b,b,x,b,b,b,b,b,o,o,b,b,b,b,x,o,x,b,b,b,x,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,draw
880,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,x,o,x,b,b,b,x,b,b,b,b,b,o,o,b,b,b,b,x,b,b,b,b,b,draw
960,b,b,b,b,b,b,x,o,x,b,b,b,o,b,b,b,b,b,x,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,draw
961,b,b,b,b,b,b,x,o,o,b,b,b,o,b,b,b,b,b,x,o,x,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,draw
976,b,b,b,b,b,b,x,b,b,b,b,b,o,o,b,b,b,b,x,o,x,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,draw
987,b,b,b,b,b,b,x,b,b,b,b,b,o,b,b,b,b,b,x,o,x,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,x,o,b,b,b,b,draw
1005,b,b,b,b,b,b,x,b,b,b,b,b,o,b,b,b,b,b,x,o,x,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,o,o,b,b,b,b,draw
1047,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,x,o,x,b,b,b,b,b,b,b,b,b,x,o,x,o,b,b,b,b,b,b,b,b,draw
1067,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,x,o,x,b,b,b,b,b,b,b,b,b,x,o,b,b,b,b,o,x,b,b,b,b,draw
1149,b,b,b,b,b,b,b,b,b,b,b,b,o,o,b,b,b,b,x,o,x,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,x,x,b,b,b,b,draw
1307,o,b,b,b,b,b,o,b,b,b,b,b,x,o,b,b,b,b,x,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,draw
1321,x,b,b,b,b,b,o,o,b,b,b,b,x,b,b,b,b,b,x,o,x,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,draw
1534,x,b,b,b,b,b,o,o,x,b,b,b,b,b,b,b,b,b,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
1537,x,b,b,b,b,b,o,o,x,o,b,b,b,b,b,b,b,b,x,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
1540,x,b,b,b,b,b,o,o,x,b,b,b,b,b,b,b,b,b,x,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,draw
1691,o,o,x,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
1721,o,x,x,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
1724,o,x,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,o,x,o,b,b,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,draw
1726,o,x,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,draw
1750,o,x,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
1752,o,x,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,o,x,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
1761,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b,draw
1788,b,b,b,b,b,b,o,b,b,b,b,b,x,x,b,b,b,b,x,o,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
1811,b,b,b,b,b,b,o,b,b,b,b,b,x,o,x,b,b,b,x,o,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
1831,b,b,b,b,b,b,o,b,b,b,b,b,x,x,b,b,b,b,x,o,o,x,b,b,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
1836,b,b,b,b,b,b,b,b,b,b,b,b,x,o,b,b,b,b,x,o,o,x,b,b,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
1837,b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,o,x,b,b,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
1851,b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,o,x,b,b,o,b,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,draw
1854,b,b,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,o,x,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
1858,b,b,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,o,x,x,b,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,draw
1866,b,b,b,b,b,b,o,x,b,b,b,b,x,o,b,b,b,b,x,o,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
1878,o,b,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,draw
1908,o,x,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,o,x,b,b,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,draw
1949,b,b,b,b,b,b,o,b,b,b,b,b,x,x,b,b,b,b,x,o,o,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
1968,b,b,b,b,b,b,o,x,b,b,b,b,x,x,b,b,b,b,x,o,o,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
1971,o,b,b,b,b,b,o,x,b,b,b,b,x,x,b,b,b,b,x,o,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
1979,o,b,b,b,b,b,o,b,b,b,b,b,x,x,b,b,b,b,x,o,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,draw
2002,b,b,b,b,b,b,b,b,b,b,b,b,x,x,b,b,b,b,x,o,o,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b,draw
2003,b,b,b,b,b,b,o,b,b,b,b,b,x,x,b,b,b,b,x,o,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b,draw
2102,b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,o,b,b,b,o,b,b,b,b,b,o,x,b,b,b,b,x,b,b,b,b,b,draw
2145,b,b,b,b,b,b,o,b,b,b,b,b,x,o,x,o,x,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2161,o,b,b,b,b,b,b,b,b,b,b,b,x,o,x,x,b,b,x,o,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2163,b,b,b,b,b,b,b,b,b,b,b,b,x,o,x,b,b,b,x,o,o,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2186,b,b,b,b,b,b,o,x,b,b,b,b,x,o,x,b,b,b,x,o,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2193,x,b,b,b,b,b,o,b,b,b,b,b,x,o,x,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,draw
2211,o,b,b,b,b,b,b,b,b,b,b,b,x,o,x,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,draw
2239,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,x,o,b,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2251,o,b,b,b,b,b,b,b,b,b,b,b,x,o,b,b,b,b,x,o,b,b,b,b,o,x,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,draw
2273,x,b,b,b,b,b,o,x,b,b,b,b,x,o,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,draw
2311,o,b,b,b,b,b,o,x,b,b,b,b,x,o,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,draw
2403,x,b,b,b,b,b,o,o,b,b,b,b,x,x,b,b,b,b,x,o,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2447,b,b,b,b,b,b,b,b,b,b,b,b,x,x,b,b,b,b,x,o,b,b,b,b,o,b,b,b,b,b,x,o,b,b,b,b,o,b,b,b,b,b,draw
2467,b,b,b,b,b,b,b,b,b,b,b,b,x,x,b,b,b,b,x,o,b,b,b,b,o,x,o,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2468,b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,o,b,b,b,o,x,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2469,b,b,b,b,b,b,b,b,b,b,b,b,x,o,b,b,b,b,x,o,b,b,b,b,o,x,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2473,o,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,x,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2480,b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,x,o,b,b,b,x,b,b,b,b,b,o,b,b,b,b,b,draw
2484,b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,x,o,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,draw
2488,b,b,b,b,b,b,o,o,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,x,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2495,b,b,b,b,b,b,o,x,o,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2503,x,b,b,b,b,b,o,o,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2505,x,o,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2508,b,b,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,x,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,draw
2537,o,x,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2563,o,b,b,b,b,b,x,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,b,b,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,draw
2575,o,x,b,b,b,b,x,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,draw
2622,o,x,o,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,draw
2632,b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,o,x,o,b,b,b,draw
2642,x,x,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,draw
2650,x,o,x,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2665,b,b,b,b,b,b,o,x,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,b,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,draw
2669,b,b,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,b,b,b,b,b,o,b,b,b,b,b,x,x,b,b,b,b,draw
2673,b,b,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,b,b,b,b,b,o,x,b,b,b,b,x,b,b,b,b,b,draw
2679,b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,b,b,b,b,b,o,b,b,b,b,b,x,x,o,b,b,b,draw
2683,o,x,o,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,draw
2695,b,b,b,b,b,b,o,b,b,b,b,b,x,x,o,o,b,b,x,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2696,b,b,b,b,b,b,o,b,b,b,b,b,x,x,o,x,o,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2700,b,b,b,b,b,b,o,b,b,b,b,b,x,x,o,x,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,draw
2720,b,b,b,b,b,b,o,o,x,b,b,b,x,x,o,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2726,x,b,b,b,b,b,o,o,b,b,b,b,x,x,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,draw
2740,b,b,b,b,b,b,o,b,b,b,b,b,x,x,o,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,draw
2768,b,b,b,b,b,b,o,o,b,b,b,b,x,x,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b,draw
2787,b,b,b,b,b,b,o,x,x,b,b,b,x,o,o,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2789,b,b,b,b,b,b,o,x,x,o,b,b,x,o,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2790,b,b,b,b,b,b,o,x,x,b,b,b,x,o,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,draw
2801,b,b,b,b,b,b,o,x,o,x,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2802,b,b,b,b,b,b,o,x,o,x,o,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2803,b,b,b,b,b,b,o,x,o,x,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,draw
2808,x,o,b,b,b,b,o,x,o,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2821,b,b,b,b,b,b,o,x,o,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,draw
2827,x,b,b,b,b,b,o,x,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,o,b,b,b,b,b,draw
2859,x,b,b,b,b,b,o,o,x,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,draw
2871,x,x,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,o,b,b,b,b,b,draw
2876,x,o,o,b,b,b,o,x,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2878,x,o,x,o,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
2881,x,o,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,o,b,b,b,b,draw
2882,x,x,o,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,draw
2886,x,o,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b,draw
2887,x,b,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,x,o,b,b,b,draw
2893,o,b,b,b,b,b,o,o,x,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,draw
2894,b,b,b,b,b,b,o,o,x,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,o,b,b,b,b,draw
2907,o,x,o,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,draw
2921,o,b,b,b,b,b,b,b,b,b,b,b,x,x,o,x,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,draw
2925,o,b,b,b,b,b,b,b,b,b,b,b,x,x,o,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,draw
2983,b,b,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,x,o,x,b,b,b,b,b,b,b,b,draw
3000,o,o,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b,x,b,b,b,b,b,draw
3022,o,x,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,x,o,b,b,b,b,draw
3024,o,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,x,x,o,b,b,b,draw
3079,o,x,x,o,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,draw
3080,o,x,x,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,o,b,b,b,b,b,draw
3096,o,x,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b,draw
3097,o,x,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,o,x,b,b,b,b,draw
3145,b,b,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,x,x,o,b,b,draw
3214,x,o,b,b,b,b,x,b,b,b,b,b,o,b,b,b,b,b,x,o,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
3222,b,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,x,o,o,x,x,o,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
3227,b,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,x,o,o,x,x,b,o,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,draw
3229,b,b,b,b,b,b,x,b,b,b,b,b,o,b,b,b,b,b,x,o,o,x,b,b,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
